id,titulo,anio,duracion,genero,plataforma,estreno_cine,actores,directores,votos,puntuacion,poster_url
810171,El aparcacoches,2022,124,"Comedia, Romance",3Pas Studios,2022-05-11,"Eugenio Derbez, Samara Weaving, Max Greenfield",Richard Wong,588,7.492,https://image.tmdb.org/t/p/w500/aRPYEiXKgOmZ4mwZ8BQwFMp2Ejw.jpg
1181039,La tumba del rey maldito,2023,94,"Acción, Aventura, Terror",Beijing Reliable Media,2023-09-22,"罗立群, 张维威, Hu Xue'er",代艺霖,20,6.7,https://image.tmdb.org/t/p/w500/Ak5gLdMklxjPjKyUEUDK6P2wt2y.jpg
1214667,Así se hizo ‘El juego del calamar: El desafío',2023,30,Documental,N/A,2023-12-06,"Nicola Brown, Rikki Finlay, Tim Harcourt",,164,7.881,https://image.tmdb.org/t/p/w500/78yTLvtsMntVN1cLfzBuZj870pe.jpg
1010581,Culpa mía,2023,117,"Romance, Drama",Pokeepsie Films,2023-06-08,"Nicole Wallace, Gabriel Guevara, Marta Hazas",Domingo González,3730,7.8,https://image.tmdb.org/t/p/w500/gp31EwMH5D2bftOjscwkgTmoLAB.jpg
1026542,Baby Blue,2023,90,"Terror, Comedia",XYZ Films,2023-04-16,"Dylan Sprayberry, Lia McHugh, Anthony Turpel",Adam Mason,11,5.0,https://image.tmdb.org/t/p/w500/z1BrCBJgG0VvehXHiIgxDrjNBhG.jpg
872585,Oppenheimer,2023,181,"Drama, Historia",Syncopy,2023-07-19,"Cillian Murphy, Emily Blunt, Matt Damon",Christopher Nolan,10382,8.1,https://image.tmdb.org/t/p/w500/5t05uhX5ULn8Um2f1ZuznVvIffU.jpg
385687,Fast & Furious X,2023,141,"Acción, Crimen, Suspense, Aventura, Misterio",Universal Pictures,2023-05-17,"Vin Diesel, Michelle Rodríguez, Tyrese Gibson",Louis Leterrier,5935,7.037,https://image.tmdb.org/t/p/w500/3P9QvWVN02Etn4kYGC702WVoXEb.jpg
897160,Mujer Valiente,2023,112,"Acción, Drama, Comedia",Studio N,2023-10-25,"신혜선, 이준영, 박정우",박진표,51,7.049,https://image.tmdb.org/t/p/w500/hdqbujWmlmsdVm62Ob8sGuC2kDk.jpg
575264,Misión: Imposible - Sentencia mortal parte uno,2023,163,"Acción, Aventura, Suspense",Paramount Pictures,2023-07-08,"Tom Cruise, Hayley Atwell, Ving Rhames",Christopher McQuarrie,4415,7.531,https://image.tmdb.org/t/p/w500/83sGKvCv2T2CulYbd40Aeduc7n2.jpg
603692,John Wick 4,2023,170,"Acción, Suspense, Crimen",Thunder Road,2023-03-22,"Keanu Reeves, Donnie Yen, Bill Skarsgård",Chad Stahelski,7181,7.7,https://image.tmdb.org/t/p/w500/mj2Z9HnRSIEk3n7yVPoOY4Uzzfh.jpg
346698,Barbie,2023,114,"Comedia, Aventura",LuckyChap Entertainment,2023-06-18,"Margot Robbie, Ryan Gosling, America Ferrera",Greta Gerwig,10037,7.0,https://image.tmdb.org/t/p/w500/fNtqD4BTFj0Bgo9lyoAtmNFzxHN.jpg
1234720,부부 교환 - 무삭제,2023,90,Romance,N/A,2023-03-16,"Min Jo-ah, Do Hee, 민도윤",Jang Kwon,2,9.5,https://image.tmdb.org/t/p/w500/7WFlsCBnVyVfJxZWprAkU4poCaJ.jpg
1029575,Plan en familia,2023,118,"Acción, Comedia, Familia",Municipal Pictures,2023-12-14,"Mark Wahlberg, Michelle Monaghan, Maggie Q",Simon Cellan Jones,1553,7.271,https://image.tmdb.org/t/p/w500/7mEX07jWRYrjarW84sBeFghGMfa.jpg
1092073,The Haunting at Saint Joseph's,2023,100,"Terror, Suspense",N/A,2023-02-26,"Tim Spriggs, Melissa Brattoni, Brandon Krum",Jon Cohen,12,4.5,https://image.tmdb.org/t/p/w500/ck9tMVSvGmkPuQvOezhfpYJMgs8.jpg
569094,Spider-Man: Cruzando el Multiverso,2023,140,"Animación, Acción, Aventura, Ciencia ficción",Columbia Pictures,2023-05-31,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry","Kemp Powers, Justin K. Thompson, Joaquim Dos Santos",7670,8.347,https://image.tmdb.org/t/p/w500/37WcNMgNOMxdhT87MFl7tq7FM1.jpg
